Epoch,train_loss,val_loss,ACC,P,R,F1,ROC-AUC,PR-AUC
01,0.2816,0.1622,0.9688,0.9029,0.9624,0.9317,0.9932,0.9779
02,0.1708,0.1280,0.9751,0.9209,0.9711,0.9453,0.9964,0.9875
03,0.1477,0.1199,0.9711,0.8953,0.9847,0.9379,0.9962,0.9884
04,0.1372,0.0956,0.9813,0.9409,0.9768,0.9585,0.9973,0.9906
05,0.1235,0.0984,0.9819,0.9439,0.9765,0.9599,0.9975,0.9914
06,0.1181,0.1358,0.9814,0.9553,0.9608,0.9580,0.9971,0.9904
07,0.1125,0.0843,0.9831,0.9444,0.9814,0.9625,0.9978,0.9921
08,0.1063,0.0927,0.9840,0.9533,0.9754,0.9643,0.9978,0.9920
09,0.0997,0.0924,0.9833,0.9468,0.9794,0.9628,0.9972,0.9908
10,0.0958,0.0835,0.9859,0.9584,0.9788,0.9685,0.9980,0.9934
